State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Yukon-Charley Rivers NPRES,"1,146",1.15%,"6,317",-3.63%,0,,"75,804",-3.63%,0,,0,,0,,0,,0,,"3,063",-3.77%,440,,0,-58.49%,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
American Samoa,National Park of American Samoa,"28,892",107.98%,"4,815",107.96%,0,,"57,783",107.96%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"28,892",107.98%,"4,815",107.96%,0,,"57,783",107.96%,0,,0,,0,,0,,0,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Canyon de Chelly NM,"821,406",0.95%,"445,880",4.57%,"1,204,941",1.61%,"5,350,562",4.57%,"2,409,884",1.61%,"23,259",255.86%,"11,173",-9.90%,0,,0,,745,22.73%,0,,0,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Casa Grande Ruins NM,"75,752",4.33%,"8,598",4.33%,"2,160",0.00%,"103,181",4.33%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Chiricahua NM,"51,277",-9.98%,"24,248",-6.63%,"3,600",0.00%,"290,975",-6.63%,"1,200",0.00%,0,,0,,"5,966",-10.77%,"5,708",3.01%,0,,0,-18.06%,903,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Coronado NMEM,"136,075",2.63%,"11,984",2.79%,"2,508",0.00%,"143,803",2.79%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Fort Bowie NHS,"8,013",3.26%,"1,336",3.26%,0,,"16,026",3.26%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Glen Canyon NRA,"259,162",29.84%,"313,565",10.23%,"2,721",32.34%,"3,762,778",10.23%,"32,661",32.37%,"5,695",-8.06%,"8,121",-13.26%,490,9.87%,648,-33.40%,"2,949",-22.19%,0,1.02%,"95,882",,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Grand Canyon NP,"5,969,811",8.13%,"7,857,214",8.20%,"60,435",-3.88%,"94,286,572",8.20%,"60,435",-3.88%,"600,307",11.17%,"24,257",-4.08%,"206,626",-0.42%,"88,600",-12.47%,"330,703",12.54%,0,25.01%,"40,891",,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Arizona,Hubbell Trading Post NHS,"67,276",1.44%,"2,897",1.44%,"4,584",0.00%,"34,759",1.44%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"12,007,544",2.37%,"10,205,716",5.93%,"5,350,353",1.74%,"122,468,590",5.93%,"4,163,853",1.68%,"635,568",13.90%,"54,716",-7.20%,"246,308",,"147,665",,"376,044",10.98%,"25,751",,"152,520",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
